
2024/09/18 (08:22:06) | ===> btop++ v.1.3.2
2024/09/18 (08:22:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (08:22:24) | ===> btop++ v.1.3.2
2024/09/18 (08:22:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (08:22:32) | ===> btop++ v.1.3.2
2024/09/18 (08:22:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (08:25:06) | ===> btop++ v.1.3.2
2024/09/18 (08:25:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (08:41:19) | ===> btop++ v.1.3.2
2024/09/18 (08:41:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (09:02:23) | ===> btop++ v.1.3.2
2024/09/18 (09:02:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/18 (09:04:03) | ===> btop++ v.1.3.2
2024/09/18 (09:04:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/20 (22:40:19) | ===> btop++ v.1.3.2
2024/09/20 (22:40:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/21 (00:48:14) | ===> btop++ v.1.3.2
2024/09/21 (00:48:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/21 (00:49:10) | ===> btop++ v.1.3.2
2024/09/21 (00:49:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/21 (00:49:18) | ===> btop++ v.1.3.2
2024/09/21 (00:49:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/21 (00:54:04) | ===> btop++ v.1.3.2
2024/09/21 (00:54:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/21 (00:57:49) | ===> btop++ v.1.3.2
2024/09/21 (00:57:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/22 (13:28:59) | ===> btop++ v.1.3.2
2024/09/22 (13:28:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/22 (13:28:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/22 (13:29:20) | ===> btop++ v.1.3.2
2024/09/22 (13:29:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
